"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","7.38","426194690.04","57749958","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","33.95","909634945.45","26793371","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"AMCN","AirMedia Group Inc","2.48","108796818.8","43869685","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"ABAC","Aoxin Tianli Group, Inc.","3.7","29556506.5","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"APWC","Asia Pacific Wire & Cable Corporation Limited","3.1","42840973.9","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"ATAI","ATA Inc.","3.7961","48380087.3402","12744682","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"BIDU","Baidu, Inc.","176.38","48332587705.4","274025330","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BZUN","Baozun Inc.","11.68","257932476.8","22083260","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/bzun",
"BSPM","Biostar Pharmaceuticals, Inc.","2.8046","7396243.4418","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"BNSO","Bonso Electronics International, Inc.","2.24","11545925.44","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bnso",
"AVGO","Broadcom Limited","176.59","70455947423.28","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo",
"CSIQ","Canadian Solar Inc.","12.7","729459221.8","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CYOU","Changyou.com Limited","23.42","434254951.52","18542056","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"CADC","China Advanced Construction Materials Group, Inc.","2.3045","5502357.861","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","3.42","13797627.48","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","5.5","174378578","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/caas",
"CBAK","China BAK Battery, Inc.","1.75","34204569","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CBPO","China Biologic Products, Inc.","115.13","3124377792.25","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","2.15","6020236.5","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CCCR","China Commercial Credit, Inc.","1.16","19299707.64","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cccr",
"CCRC","China Customer Relations Centers, Inc.","18.8","344596480","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ccrc",
"JRJC","China Finance Online Co. Limited","3.55","75329583.55","21219601","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jrjc",
"HGSH","China HGS Real Estate, Inc.","2","90100000","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/hgsh",
"CNIT","China Information Technology, Inc.","0.73","29281146.07","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CJJD","China Jo-Jo Drugstores, Inc.","1.71","34840699.38","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","5.31","121592989.08","n/a","n/a","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/cldc",
"HTHT","China Lodging Group, Limited","48.49","1541046288.47","31780703","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/htht",
"CHNR","China Natural Resources, Inc.","2.58","64270163.28","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/chnr",
"CREG","China Recycling Energy Corporation","1.56","12963908.88","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CNTF","China TechFaith Wireless Communication Technology Limited","1.91","13864665.17","7258987","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cntf",
"CXDC","China XD Plastics Company Limited","4","198226164","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"CCIH","ChinaCache International Holdings Ltd.","2.75","48694915.5","17707242","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.08","13131225.36","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","15.78","404287813.26","25620267","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/imos",
"CLNT","Cleantech Solutions International, Inc.","0.7926","4150438.8036","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CTRP","Ctrip.com International, Ltd.","42.5","17829050220","419507064","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"DELT","Delta Technology Holdings Limited","0.781","7512323.412","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/delt",
"DELTW","Delta Technology Holdings Limited","0.1","0","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/deltw",
"ECAC","E-compass Acquisition Corp.","10.2504","54429624","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/ecac",
"ECACR","E-compass Acquisition Corp.","0.78","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/ecacr",
"ECACU","E-compass Acquisition Corp.","10.801","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/ecacu",
"EFUT","eFuture Holding Inc.","6.4","33686176","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut",
"EGT","Entertainment Gaming Asia Incorporated","1.39","20105265.8","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/egt",
"CLWT","Euro Tech Holdings Company Limited","3.7","7629063.3","n/a","n/a","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"EVK","Ever-Glory International Group, Inc.","2.25","33272865","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"FANH","Fanhua Inc.","8.65","312934890.6","36177444","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/fanh",
